Jun 03 21:38:27.754: vmx| Log for VMware Player pid=18636 version=2.5.1 build=build-126130 option=Release
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS0.user = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS0.secure = FALSE
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS0.port = 0
Jun 03 21:38:27.995: vmx| DICT      pref.mruATS1.present = FALSE
Jun 03 21:38:27.995: vmx| DICT    pref.mruATS1.atsString = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS1.domain = 
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS1.user = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS1.secure = FALSE
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS1.port = 0
Jun 03 21:38:27.995: vmx| DICT      pref.mruATS2.present = FALSE
Jun 03 21:38:27.995: vmx| DICT    pref.mruATS2.atsString = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS2.domain = 
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS2.user = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS2.secure = FALSE
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS2.port = 0
Jun 03 21:38:27.995: vmx| DICT      pref.mruATS3.present = FALSE
Jun 03 21:38:27.995: vmx| DICT    pref.mruATS3.atsString = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS3.domain = 
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS3.user = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS3.secure = FALSE
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS3.port = 0
Jun 03 21:38:27.995: vmx| DICT      pref.mruATS4.present = FALSE
Jun 03 21:38:27.995: vmx| DICT    pref.mruATS4.atsString = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS4.domain = 
Jun 03 21:38:27.995: vmx| DICT         pref.mruATS4.user = 
Jun 03 21:38:27.995: vmx| DICT       pref.mruATS4.secure = FALSE
